time,process,threads,memory_usage
30:3,260,3973,64.7
30:3,260,3973,64.7
30:3,262,3994,64.7
30:6,262,3996,64.7
30:8,262,3996,64.7
30:8,262,3996,64.7
30:13,262,3996,65.0
30:13,262,3996,64.9
30:15,262,3996,64.7
30:19,262,3994,64.7
30:18,262,3993,64.7
30:19,262,3995,64.7
30:24,262,3993,64.8
30:24,262,3991,64.8
30:29,262,3999,64.7
30:30,262,3999,64.7
30:28,262,3999,64.7
30:31,262,3984,63.8
30:35,262,3983,63.8
30:35,262,3982,63.8
30:39,261,3978,63.8
30:40,261,3976,63.8
30:40,261,3971,63.8
30:43,261,3971,63.8
30:47,261,3972,63.9
30:48,261,3972,63.9
30:51,261,3972,63.9
30:51,261,3971,63.9
30:52,261,3971,63.9
30:53,261,3969,63.9
30:58,261,3967,64.0
30:58,261,3967,64.0
31:2,261,3966,64.0
31:4,261,3965,63.9
31:3,261,3965,63.9
31:4,261,3964,63.9
31:8,261,3963,63.9
31:9,261,3963,63.9
31:13,261,3964,64.0
31:14,261,3964,64.0
31:16,261,3964,64.0
31:15,261,3964,64.0
31:19,261,3965,64.0
31:19,261,3965,64.0
31:25,261,3964,64.0
31:26,261,3964,64.0
31:26,261,3965,63.9
31:27,261,3965,63.9
31:29,261,3959,63.9
31:30,261,3959,63.9
31:35,261,3664,63.9
31:35,261,3664,63.9
31:37,260,3664,63.9
31:39,260,3663,63.9
31:41,260,3663,63.9
31:41,260,3663,63.9
31:46,260,3664,63.9
31:47,260,3664,63.9
31:46,260,3664,64.0
31:51,260,3663,64.0
31:50,260,3664,64.0
31:52,260,3663,64.0
31:57,261,3668,64.0
31:56,261,3668,64.0
31:59,261,3668,64.0
32:0,261,3668,64.0
32:2,261,3667,64.0
32:2,261,3667,64.0
32:8,261,3671,64.0
32:8,261,3671,64.0
32:9,261,3670,64.0
32:11,261,3670,64.0
32:13,261,3671,64.1
32:13,261,3671,64.1
32:18,261,3676,64.1
32:18,261,3679,64.2
32:19,261,3669,64.2
32:22,261,3669,64.3
32:24,261,3672,64.3
32:24,261,3671,64.3
32:29,263,3727,64.3
32:29,263,3727,64.3
32:28,263,3727,64.3
32:35,263,3729,64.2
32:34,263,3730,64.2
32:37,263,3703,64.2
32:39,263,3702,64.2
32:38,263,3702,64.2
32:45,261,3673,64.2
32:45,261,3672,64.2
32:48,261,3672,64.2
32:49,261,3671,64.2
32:50,259,3672,64.2
32:49,261,3672,64.2
32:55,259,3672,64.2
32:58,259,3673,64.2
32:58,259,3672,64.2
32:59,259,3671,64.2
32:59,259,3671,64.2
33:0,259,3671,64.2
33:6,259,3667,64.2
33:8,259,3667,64.2
33:8,259,3666,64.2
33:11,259,3667,64.3
33:9,259,3666,64.3
33:10,259,3667,64.3
33:19,259,3669,64.3
33:18,259,3669,64.3
33:18,259,3669,64.3
33:21,259,3668,64.3
33:20,259,3668,64.3
33:20,259,3668,64.3
33:28,259,3661,64.3
33:29,259,3661,64.3
33:29,259,3661,64.3
33:30,259,3661,64.3
33:31,259,3659,64.3
33:32,259,3659,64.3
33:40,259,3656,64.4
33:39,259,3656,64.4
33:40,259,3656,64.4
33:41,259,3655,64.4
33:41,259,3655,64.4
33:41,259,3656,64.4
33:50,259,3652,64.4
33:49,259,3652,64.4
33:50,259,3652,64.4
33:51,259,3652,64.4
33:52,259,3633,64.4
33:53,259,3634,64.4
34:1,259,3652,64.4
34:1,259,3653,64.4
34:0,257,3633,64.4
34:2,259,3654,64.4
34:3,259,3649,64.4
34:3,259,3650,64.4
34:11,259,3635,64.4
34:10,259,3639,64.4
34:11,259,3635,64.4
34:12,259,3631,64.4
34:14,258,3633,64.4
34:14,258,3632,64.4
34:22,258,3633,64.5
34:21,258,3634,64.5
34:21,258,3633,64.5
34:23,258,3633,64.5
34:23,258,3632,64.5
34:24,258,3630,64.5
34:32,258,3633,64.5
34:32,258,3633,64.5
34:32,258,3633,64.5
34:33,258,3632,64.5
34:33,258,3631,64.5
34:34,258,3631,64.5
34:42,258,3625,64.6
34:42,258,3625,64.6
34:43,258,3625,64.6
34:43,258,3625,64.6
34:44,258,3624,64.6
34:45,258,3624,64.6
34:52,258,3621,64.6
34:53,258,3617,64.6
34:53,258,3618,64.6
34:55,258,3618,64.6
34:54,258,3618,64.6
34:54,258,3618,64.6
35:1,258,3614,64.6
35:3,258,3613,64.6
35:3,258,3613,64.6
35:5,258,3613,64.6
35:5,258,3612,64.6
35:6,258,3611,64.6
35:12,258,3610,64.6
35:13,258,3610,64.6
35:12,258,3610,64.6
35:16,258,3610,64.6
35:15,258,3610,64.6
35:17,258,3610,64.6
35:23,258,3604,64.7
35:22,258,3604,64.7
35:23,258,3604,64.7
35:27,258,3606,64.6
35:27,258,3606,64.6
35:26,258,3605,64.6
35:33,256,3601,64.6
35:33,256,3601,64.6
35:32,256,3601,64.6
35:37,256,3596,64.7
