time,process,threads,memory_percent
2020-4-2,214,2506,58.4
2020-4-2,214,2507,58.4
2020-4-2,214,2507,58.4
2020-4-2,214,2506,58.4
2020-4-2,214,2506,58.4
2020-4-2,214,2506,58.4
2020-4-2,214,2504,58.4
2020-4-2,214,2503,58.4
2020-4-2,214,2502,58.4
2020-4-2,214,2503,57.7
2020-4-2,214,2503,57.7
2020-4-2,214,2492,57.7
2020-4-2,214,2479,57.7
2020-4-2,214,2478,57.7
2020-4-2,214,2474,57.7
2020-4-2,214,2474,57.7
2020-4-2,214,2474,57.7
2020-4-2,214,2468,57.7
2020-4-2,214,2462,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2460,57.8
2020-4-2,214,2460,57.8
2020-4-2,214,2460,57.8
2020-4-2,214,2460,57.8
2020-4-2,214,2460,57.8
2020-4-2,214,2459,57.8
2020-4-2,214,2458,57.8
2020-4-2,214,2458,57.8
2020-4-2,214,2453,57.8
2020-4-2,214,2452,57.8
2020-4-2,214,2451,57.8
2020-4-2,214,2452,57.8
2020-4-2,214,2452,57.8
2020-4-2,214,2452,57.8
2020-4-2,214,2451,57.8
2020-4-2,214,2450,57.8
2020-4-2,214,2451,57.8
2020-4-2,214,2453,57.8
2020-4-2,214,2455,57.9
2020-4-2,214,2455,57.9
2020-4-2,214,2455,57.9
2020-4-2,214,2455,57.9
2020-4-2,214,2453,57.9
2020-4-2,214,2454,57.8
2020-4-2,214,2453,57.8
2020-4-2,214,2456,57.8
2020-4-2,214,2459,57.8
2020-4-2,214,2459,57.8
2020-4-2,214,2458,57.8
2020-4-2,214,2457,57.8
2020-4-2,214,2456,57.8
2020-4-2,214,2456,57.8
2020-4-2,214,2457,57.9
2020-4-2,214,2459,57.8
2020-4-2,214,2459,57.8
2020-4-2,214,2455,57.8
2020-4-2,213,2455,57.8
2020-4-2,213,2456,57.8
2020-4-2,213,2456,57.8
2020-4-2,214,2464,57.8
2020-4-2,214,2464,57.8
2020-4-2,214,2464,57.8
2020-4-2,214,2464,57.8
2020-4-2,214,2464,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2465,57.8
2020-4-2,214,2466,57.8
2020-4-2,214,2466,57.8
2020-4-2,214,2465,57.8
2020-4-2,214,2465,57.8
2020-4-2,214,2465,57.8
2020-4-2,214,2465,57.8
2020-4-2,214,2465,57.8
2020-4-2,214,2464,57.8
2020-4-2,214,2465,57.8
2020-4-2,214,2462,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2464,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2462,57.8
2020-4-2,214,2462,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2462,57.8
2020-4-2,214,2462,57.8
2020-4-2,214,2462,57.8
2020-4-2,214,2461,57.8
2020-4-2,214,2464,57.8
2020-4-2,214,2463,57.8
2020-4-2,214,2462,57.8
2020-4-2,214,2461,57.8
2020-4-2,214,2458,57.8
2020-4-2,214,2458,57.8
2020-4-2,214,2456,57.8
2020-4-2,214,2458,57.8
2020-4-2,214,2458,57.8
2020-4-2,214,2458,57.8
2020-4-2,214,2456,57.8
2020-4-2,214,2456,57.8
2020-4-2,214,2458,57.8
2020-4-2,214,2455,57.8
2020-4-2,214,2453,57.8
2020-4-2,214,2451,57.8
2020-4-2,214,2452,57.8
2020-4-2,214,2452,57.8
2020-4-2,214,2449,57.8
2020-4-2,214,2449,57.8
2020-4-2,214,2448,57.8
2020-4-2,214,2447,57.8
2020-4-2,214,2447,57.8
2020-4-2,214,2446,57.8
2020-4-2,214,2445,57.8
2020-4-2,214,2446,57.8
2020-4-2,214,2449,57.8
2020-4-2,214,2449,57.8
2020-4-2,214,2449,57.8
2020-4-2,214,2449,57.8
2020-4-2,214,2449,57.8
2020-4-2,214,2449,57.8
2020-4-2,214,2449,57.8
2020-4-2,214,2448,57.8
2020-4-2,214,2448,57.8
2020-4-2,214,2448,57.8
2020-4-2,214,2447,57.8
2020-4-2,214,2447,57.8
2020-4-2,214,2446,57.8
2020-4-2,214,2445,57.8
2020-4-2,214,2445,57.8
2020-4-2,214,2446,57.8
2020-4-2,214,2445,57.8
2020-4-2,214,2444,57.8
2020-4-2,214,2445,57.8
2020-4-2,214,2445,57.8
2020-4-2,214,2446,57.8
2020-4-2,214,2446,57.8
2020-4-2,214,2447,57.8
2020-4-2,214,2447,57.8
2020-4-2,214,2447,57.8
2020-4-2,214,2446,57.8
2020-4-2,214,2446,57.8
2020-4-2,214,2446,57.8
2020-4-2,214,2446,57.8
2020-4-2,214,2446,57.8
2020-4-2,214,2446,57.8
2020-4-2,214,2443,57.8
2020-4-2,214,2443,57.8
2020-4-2,214,2443,57.8
2020-4-2,214,2443,57.8
2020-4-2,214,2444,57.8
2020-4-2,214,2444,57.8
2020-4-2,214,2444,57.8
2020-4-2,214,2444,57.8
2020-4-2,214,2451,57.8
2020-4-2,214,2452,57.8
2020-4-2,214,2451,57.8
2020-4-2,214,2451,57.8
2020-4-2,214,2452,57.8
2020-4-2,214,2451,57.8
2020-4-2,214,2451,57.8
2020-4-2,214,2451,57.8
2020-4-2,213,2449,57.8
2020-4-2,213,2450,57.8
2020-4-2,213,2450,57.8
2020-4-2,213,2448,57.8
2020-4-2,213,2449,57.8
2020-4-2,213,2450,57.8
2020-4-2,213,2450,57.8
2020-4-2,213,2450,57.8
2020-4-2,213,2450,57.8
2020-4-2,213,2450,57.8
2020-4-2,213,2451,57.8
2020-4-2,213,2452,57.8
2020-4-2,213,2452,57.8
2020-4-2,213,2451,57.8
2020-4-2,213,2451,57.8
2020-4-2,213,2450,57.8
2020-4-2,213,2448,57.8
2020-4-2,213,2448,57.8
2020-4-2,213,2448,57.8
2020-4-2,213,2449,57.8
2020-4-2,213,2449,57.8
2020-4-2,213,2449,57.8
2020-4-2,213,2448,57.8
2020-4-2,213,2448,57.8
2020-4-2,213,2449,57.8
2020-4-2,213,2448,57.8
2020-4-2,213,2448,57.8
2020-4-2,213,2448,57.8
2020-4-2,213,2452,57.8
2020-4-2,213,2451,57.8
2020-4-2,213,2453,57.8
2020-4-2,213,2453,57.8
2020-4-2,213,2452,57.8
2020-4-2,213,2453,57.8
2020-4-2,213,2453,57.8
2020-4-2,213,2453,57.8
2020-4-2,213,2453,57.8
2020-4-2,213,2453,57.8
2020-4-2,213,2453,57.8
2020-4-2,213,2450,57.8
2020-4-2,213,2451,57.8
2020-4-2,213,2450,57.8
2020-4-2,213,2447,57.8
2020-4-2,213,2446,57.8
2020-4-2,213,2446,57.8
2020-4-2,213,2443,57.8
2020-4-2,213,2441,57.8
2020-4-2,213,2441,57.8
2020-4-2,213,2434,57.8
2020-4-2,213,2432,57.8
2020-4-2,213,2431,57.8
2020-4-2,213,2431,57.8
2020-4-2,213,2439,57.9
2020-4-2,213,2443,57.9
2020-4-2,213,2443,57.9
2020-4-2,213,2445,57.9
2020-4-2,213,2445,57.9
2020-4-2,213,2444,57.9
2020-4-2,213,2444,57.9
2020-4-2,213,2444,57.9
2020-4-2,213,2443,58.0
2020-4-2,213,2447,58.0
2020-4-2,214,2451,58.0
2020-4-2,214,2452,58.0
2020-4-2,214,2452,58.0
2020-4-2,214,2452,58.0
2020-4-2,214,2453,58.0
2020-4-2,214,2452,58.0
2020-4-2,214,2452,58.1
2020-4-2,215,2451,58.1
2020-4-2,214,2459,58.0
2020-4-2,214,2461,58.0
2020-4-2,214,2461,58.0
2020-4-2,218,2463,58.0
2020-4-2,214,2464,58.0
2020-4-2,214,2466,58.0
2020-4-2,214,2466,58.0
2020-4-2,214,2466,58.0
2020-4-2,214,2465,58.0
2020-4-2,214,2465,58.1
2020-4-2,214,2465,58.1
2020-4-2,214,2466,58.1
2020-4-2,214,2466,58.1
2020-4-2,214,2467,58.1
2020-4-2,214,2467,58.1
2020-4-2,214,2467,58.1
2020-4-2,214,2467,58.0
2020-4-2,214,2467,58.0
2020-4-2,214,2467,58.0
2020-4-2,214,2466,58.0
2020-4-2,214,2466,58.0
2020-4-2,214,2465,58.0
2020-4-2,214,2466,58.0
2020-4-2,214,2466,58.1
2020-4-2,214,2465,58.1
2020-4-2,214,2466,58.1
2020-4-2,214,2467,58.1
2020-4-2,214,2467,58.1
2020-4-2,214,2467,58.0
