time,process,threads,memory_usage
53:16,238,3422,84.6
53:21,237,3421,84.5
53:22,239,3434,84.4
53:24,239,3436,84.4
53:26,239,3437,84.3
53:28,239,3438,84.6
53:30,239,3436,84.6
53:33,239,3426,84.8
53:35,239,3425,84.7
53:38,239,3424,85.3
53:41,239,3403,84.9
53:44,238,3390,84.7
53:46,236,3383,84.9
53:49,236,3389,84.4
53:52,236,3392,84.4
53:54,238,3404,84.5
53:57,238,3403,84.5
53:59,238,3403,85.3
54:0,238,3396,85.2
54:1,239,3388,85.1
54:2,239,3380,85.1
54:3,240,3382,85.0
54:4,240,3375,85.2
54:6,240,3371,85.2
54:14,241,3399,85.1
54:18,239,3411,85.2
54:17,239,3411,85.3
54:19,238,3411,85.8
54:20,238,3410,85.7
54:21,238,3411,85.6
54:31,240,3419,85.0
54:34,240,3421,85.1
54:33,240,3420,85.1
54:35,240,3428,85.1
54:36,240,3417,85.1
54:38,240,3418,85.1
54:51,239,3423,84.6
54:53,239,3422,85.0
54:54,239,3421,85.0
54:54,239,3421,84.9
54:54,240,3429,84.9
54:53,239,3421,84.9
55:11,239,3417,85.6
55:12,239,3416,85.6
55:9,239,3417,85.6

55:12,239,3416,85.6
55:10,239,3417,85.5
55:29,240,3391,85.4
55:29,240,3391,85.4
55:29,240,3391,85.4
55:30,240,3392,85.4
55:29,240,3392,85.4
55:31,240,3394,85.2
55:44,239,3378,85.2
55:44,240,3377,85.2
55:44,240,3378,85.2
55:44,240,3377,85.2
55:45,240,3378,85.3
55:46,236,3376,85.8
55:58,238,3367,85.8
55:58,238,3367,85.8
55:58,238,3367,85.8
55:58,238,3371,85.9
55:59,238,3371,86.1
56:1,238,3370,86.4
56:12,238,3468,87.8
56:11,237,3460,87.7
56:12,237,3460,87.7
56:13,238,3467,86.8
56:14,239,3484,86.8
56:16,240,3516,86.6
56:27,241,3537,87.8
56:27,241,3537,87.8
56:26,241,3537,87.8
56:29,241,3537,88.5
56:29,241,3537,88.5
56:32,241,3543,90.7
56:41,247,3584,88.9
56:42,247,3583,88.9
56:41,247,3584,88.8
56:46,244,3586,90.2
56:46,244,3587,90.2
56:49,246,3595,90.5
56:59,246,3561,88.4
57:0,246,3527,88.6
57:0,246,3563,88.8
57:6,247,3529,89.1
57:5,247,3528,89.1
57:7,248,3537,89.1
57:20,244,3595,89.3
57:21,245,3603,89.3
57:20,245,3603,89.3
57:26,245,3601,89.6
57:26,245,3601,89.5
57:27,245,3602,88.7
57:37,245,3569,88.4
57:39,245,3569,88.4
57:38,245,3568,88.4
57:42,245,3571,90.4
57:42,245,3571,90.4
57:43,242,3571,90.5
57:53,245,3573,91.8
57:54,245,3572,92.0
57:55,245,3576,91.9
58:0,250,3659,92.4
57:59,250,3659,92.2
58:0,250,3659,92.2
58:11,248,3648,91.5
58:14,253,3636,91.4
58:13,249,3638,91.4
58:17,247,3637,91.4
58:18,247,3632,90.7
58:18,248,3631,90.9
58:30,248,3619,91.1
58:32,248,3618,91.1
58:32,250,3618,91.1
58:32,250,3617,91.3
58:34,245,3617,91.6
58:35,245,3615,91.3
58:46,248,3612,91.3
58:48,248,3602,91.3
58:48,248,3601,91.3
58:49,248,3602,91.2
58:51,248,3603,91.2
58:52,250,3603,91.2
59:4,246,3607,92.5
59:2,246,3607,92.1
59:4,246,3608,91.7
59:5,248,3620,91.7
59:7,248,3619,91.6
59:7,248,3619,91.9
59:19,249,3577,91.6
59:21,249,3586,91.6
59:19,249,3575,91.6
59:21,249,3589,91.6
59:23,249,3586,91.5
59:24,249,3586,91.5
59:36,248,3581,91.0
59:36,248,3581,90.8
59:36,248,3587,90.8
59:37,248,3588,91.1
59:39,248,3580,91.2
59:39,248,3580,91.2
59:51,247,3602,92.3
59:52,247,3599,92.3
59:52,247,3599,92.3
59:53,247,3609,92.0
59:54,247,3610,92.0
59:55,250,3620,92.0
50:4,247,3628,87.9
50:6,247,3635,88.5
50:8,247,3640,89.6
50:12,249,3641,91.0
50:14,249,3641,90.9
50:20,247,3648,88.1
50:23,247,3649,89.0
50:27,247,3647,90.8
50:30,247,3648,91.1
50:33,247,3648,88.6
50:35,252,3657,88.8
50:56,249,3676,88.7
50:59,249,3680,88.8
51:12,247,3636,90.8
51:14,247,3629,89.8
51:19,246,3623,88.4
51:20,246,3613,88.4
51:20,246,3614,88.4
51:27,246,3613,89.2
51:29,246,3612,89.2
51:29,246,3611,89.1
51:30,246,3608,89.1
52:26,248,3678,87.2
52:31,248,3643,88.2
52:39,249,3674,88.8
52:42,249,3674,88.8
52:47,249,3673,88.5
52:51,249,3671,88.4
52:53,249,3666,88.4
52:56,249,3665,88.1
52:58,249,3667,88.5
52:59,249,3679,88.5
53:0,251,3697,88.6
53:1,253,3701,88.5
53:3,255,3693,88.4
53:4,250,3693,88.4
53:9,250,3698,88.5
53:11,250,3696,88.4
53:13,250,3695,88.4
53:12,250,3695,88.3
53:17,249,3691,88.3
53:17,249,3692,88.2
53:21,249,3685,88.2
53:23,249,3684,88.2
53:24,249,3682,88.2
53:22,249,3682,88.2
53:26,249,3683,88.2
53:28,249,3684,88.2
53:31,249,3684,88.2
53:35,249,3683,88.1
53:33,249,3685,88.1
53:34,249,3685,88.1
53:36,249,3684,88.1
53:40,249,3672,88.2
53:46,249,3669,88.2
53:45,249,3669,88.2
53:44,249,3671,88.2
53:43,249,3671,88.2
53:47,249,3668,88.2
53:50,249,3666,88.2
53:54,249,3661,88.2
53:54,249,3657,88.2
53:54,249,3657,88.2
53:54,249,3656,88.3
54:15,250,3674,88.4
54:16,250,3674,88.4
54:15,250,3674,88.4
54:15,250,3674,88.4
54:15,250,3674,88.4
54:16,250,3674,88.4
54:28,250,3649,87.2
54:28,250,3649,87.2
54:27,250,3649,87.2
