time,process,threads,memory_usage
20:1,260,4023,64.8
20:8,260,4026,65.1
20:6,260,4025,65.2
20:9,260,4023,65.3
20:8,260,4022,65.3
20:10,260,4023,65.4
20:12,260,4025,65.1
20:18,260,4034,65.6
20:18,260,4034,65.6
20:19,260,4034,65.6
20:20,260,4034,65.5
20:20,260,4034,65.5
20:24,260,4034,65.5
20:30,260,4024,65.0
20:29,260,4024,65.0
20:29,260,4024,65.0
20:29,260,4024,65.0
20:31,258,4016,65.0
20:35,258,4008,65.0
20:39,258,4007,65.0
20:40,258,4006,65.0
20:39,258,4006,65.0
20:40,258,4005,65.0
20:42,258,4007,65.0
20:47,258,4005,65.0
20:50,258,4002,65.1
20:49,258,4003,65.1
20:50,258,4001,65.1
20:50,258,3999,65.1
20:52,258,3997,65.1
21:0,258,3990,65.1
20:58,258,3990,65.1
20:59,258,3990,65.1
21:1,258,3990,65.1
21:2,258,3991,65.1
21:2,258,3991,65.1
21:11,258,3992,65.1
21:10,258,3992,65.1
21:10,258,3992,65.1
21:12,258,3993,65.1
21:13,258,3993,65.1
21:12,258,3993,65.1
21:20,258,3992,65.2
21:20,258,3992,65.2
21:24,258,4000,65.2
21:23,258,3992,65.2
21:22,258,3992,65.2
21:31,258,3992,65.2
21:30,258,3992,65.2
21:30,258,3992,65.2
21:33,258,3992,65.2
21:34,258,3991,65.2
21:35,258,3989,65.2
21:41,258,3989,65.2
21:41,258,3989,65.2
21:41,258,3989,65.2
21:44,258,3990,65.2
21:45,258,3990,65.2
21:44,258,3990,65.2
21:52,258,3991,65.2
21:52,258,3992,65.2
21:52,258,3992,65.2
21:56,258,3993,65.2
21:55,258,3992,65.2
21:55,258,3994,65.3
22:3,258,3993,65.3
22:2,258,3994,65.3
22:2,258,3993,65.3
22:6,258,3993,65.3
22:6,258,3993,65.3
22:6,258,3993,65.3
22:12,258,3990,65.3
22:13,258,3990,65.3
22:14,258,3990,65.3
22:16,258,3990,65.3
22:16,258,3990,65.4
22:18,258,3991,65.5
22:24,258,3993,65.5
22:23,258,3993,65.5
22:23,258,3989,65.5
22:27,258,3992,65.5
22:27,258,3993,65.5
22:29,260,4021,65.5
22:34,260,4030,65.5
22:35,260,4029,65.5
22:34,260,4030,65.4
22:38,260,3982,65.4
22:40,260,3982,65.4
22:39,260,3975,65.4
22:45,258,3972,65.4
22:44,258,3972,65.4
22:44,258,3972,65.4
22:50,256,3972,65.4
22:49,256,3972,65.4
22:51,256,3972,65.4
22:55,256,3972,65.4
22:56,256,3972,65.4
22:55,256,3973,65.4
22:59,256,3973,65.4
23:0,256,3973,65.4
23:1,256,3975,65.4
23:6,256,3975,65.4
23:6,256,3975,65.4
23:7,256,3976,65.4
23:9,256,3976,65.4
23:9,256,3976,65.4
23:13,256,3975,65.4
23:16,256,3976,65.4
23:17,256,3976,65.4
23:22,256,3974,65.4
23:20,256,3974,65.4
23:21,256,3974,65.4
23:27,256,3972,65.4
23:27,256,3971,65.4
23:28,256,3971,65.4
23:32,255,3979,65.9
23:32,255,3980,65.9
23:32,255,3980,65.9
23:38,255,3979,65.7
23:38,255,3979,65.7
23:37,255,3978,65.7
23:43,255,3978,65.7
23:42,255,3979,65.7
23:42,255,3980,65.7
23:48,255,3980,65.6
23:47,255,3980,65.6
23:49,255,3980,65.6
23:52,255,3978,65.6
23:53,255,3977,65.6
23:54,255,3978,65.7
23:59,255,3989,65.8
23:58,255,3988,65.8
23:59,255,3989,65.8
24:3,257,4025,65.9
24:3,257,4027,65.9
24:6,261,4057,65.9
24:10,260,4046,65.8
24:9,260,4046,65.8
24:10,260,4040,65.8
24:13,260,4040,65.8
24:14,260,4039,65.8
24:17,260,4037,65.8
24:20,260,4037,65.8
24:21,260,4037,65.8
24:21,260,4036,65.8
24:24,260,4044,65.8
24:25,260,4045,65.8
24:28,260,4045,65.8
24:31,260,4034,65.8
24:33,260,4034,65.8
24:31,260,4034,65.8
24:36,260,4029,65.8
24:38,260,4030,65.8
24:35,260,4028,65.8
24:42,260,4019,65.8
24:42,260,4019,65.8
24:43,260,4020,65.8
24:48,260,4021,65.8
24:46,260,4020,65.8
24:49,260,4021,65.8
24:52,260,4025,65.8
24:54,260,4018,65.8
24:54,260,4018,65.8
24:57,260,4021,65.8
24:59,260,4019,65.8
24:58,260,4018,65.8
25:4,260,3999,65.8
25:5,259,3998,65.8
25:4,260,3998,65.8
25:8,259,3998,65.8
25:9,259,3997,65.8
25:8,259,3997,65.8
25:15,259,3996,65.8
25:15,259,3996,65.9
25:16,259,3996,65.9
25:20,259,3997,65.8
25:19,259,3996,65.8
25:20,259,3998,65.8
25:27,259,3982,65.8
25:25,259,3982,65.8
25:26,259,3982,65.8
25:30,259,3971,64.7
25:30,257,3970,64.7
25:32,257,3971,64.7
25:36,256,3968,64.7
25:36,256,3968,64.7
25:35,256,3968,64.7
25:42,256,3963,64.7
25:43,256,3964,64.7
25:41,256,3964,64.7
25:46,256,3963,64.7
25:47,256,3963,64.7
25:47,256,3961,64.8
25:52,256,3962,64.8
25:53,256,3962,64.8
25:58,256,3963,64.8
25:57,256,3963,64.8
25:58,256,3963,64.8
26:4,256,3962,64.9
26:2,256,3962,64.9
26:3,256,3960,64.9
26:7,256,3959,65.0
26:9,256,3959,65.0
26:8,256,3959,65.0
26:13,256,3959,65.0
26:13,256,3959,65.0
26:15,256,3960,65.0
26:17,256,3959,65.0
26:20,256,3959,65.0
26:19,256,3959,65.0
26:23,256,3958,65.1
26:24,256,3959,65.1
26:25,256,3959,65.1
26:28,256,3961,65.1
26:31,256,3959,65.1
26:30,256,3959,65.1
26:33,256,3959,65.1
26:36,256,3958,65.1
26:35,256,3957,65.1
26:40,256,3954,65.1
26:39,256,3955,65.1
26:41,256,3955,65.1
26:44,256,3955,65.2
26:45,256,3955,65.2
26:47,256,3955,65.1
26:51,256,3955,65.2
26:50,256,3955,65.2
26:51,256,3955,65.2
26:55,256,3956,65.2
26:57,256,3957,65.2
26:57,256,3957,65.2
27:2,256,3956,65.2
27:1,256,3956,65.2
27:1,256,3957,65.2
27:6,256,3954,65.2
27:7,256,3955,65.2
27:7,256,3955,65.2
27:13,256,3953,65.2
27:12,256,3953,65.2
27:12,256,3953,65.2
27:16,256,3953,65.2
27:17,256,3953,65.2
27:18,256,3953,65.4
27:22,256,3955,65.4
27:23,256,3956,65.4
27:22,256,3955,65.4
27:27,256,3958,65.4
27:29,258,4000,65.4
27:28,258,4001,65.4
27:32,258,4000,65.4
27:33,258,4000,65.4
27:34,258,4000,65.4
27:38,258,3958,65.3
27:40,258,3957,65.3
27:39,258,3957,65.3
27:44,258,3958,65.3
27:45,258,3959,65.3
27:44,258,3958,65.3
27:48,256,3957,65.3
27:51,256,3960,65.4
27:50,256,3960,65.4
27:54,256,3962,65.4
27:56,256,3963,65.4
27:55,256,3963,65.4
27:58,256,3978,65.4
28:1,258,4006,65.4
28:1,258,4005,65.4
28:5,258,3999,65.7
28:6,258,4000,65.7
28:8,258,4001,65.7
28:9,258,4011,65.9
28:11,261,4045,66.0
28:12,261,4045,66.0
28:17,261,4066,66.0
28:18,261,4068,66.0
28:17,261,4067,66.0
28:20,261,4055,65.9
28:23,261,4043,65.9
28:24,261,4031,65.9
28:28,261,4041,65.9
28:28,261,4041,65.9
28:29,261,4041,65.9
