time,process,threads,memory_usage
3:53,261,3710,64.7
3:57,261,3708,64.8
3:59,261,3707,64.8
4:1,263,3737,64.9
4:3,263,3738,64.9
4:5,263,3738,64.9
4:7,263,3734,64.9
4:9,263,3730,64.9
4:11,263,3729,64.9
4:13,263,3725,64.9
4:14,263,3724,64.9
4:16,263,3724,64.9
4:18,263,3723,64.9
4:20,263,3712,65.0
4:22,263,3708,65.0
4:24,263,3710,65.0
4:26,263,3698,65.0
4:28,263,3698,65.0
4:30,263,3698,65.0
4:32,263,3700,65.0
4:34,263,3704,65.0
4:34,263,3713,65.0
4:36,263,3707,65.1
4:37,263,3708,65.0
4:38,263,3701,65.0
4:39,263,3700,65.0
4:40,263,3697,65.0
4:42,263,3694,65.0
4:45,263,3693,65.0
4:48,263,3693,65.0
4:49,263,3690,65.0
4:51,263,3689,65.0
4:51,263,3689,65.0
4:55,263,3683,65.0
4:59,263,3683,65.0
4:57,263,3683,65.0
5:0,263,3683,65.0
5:1,263,3684,65.0
5:3,263,3683,65.0
5:7,263,3669,65.0
5:8,263,3668,65.0
5:8,263,3668,65.0
5:14,263,3668,65.1
5:13,263,3668,65.1
5:16,263,3669,65.1
5:18,263,3668,65.1
5:18,263,3668,65.1
5:19,263,3667,65.2
5:23,263,3660,64.4
5:26,263,3653,63.8
5:26,263,3653,63.9
5:29,263,3655,63.8
5:30,263,3668,63.8
5:31,261,3660,63.8
5:35,261,3661,63.8
5:39,263,3681,63.8
5:39,264,3681,63.8
5:41,262,3680,63.8
5:42,262,3681,63.8
5:42,262,3681,63.8
5:47,262,3680,63.8
5:49,262,3681,63.8
5:50,262,3680,63.8
5:50,262,3680,63.8
5:55,262,3675,63.9
5:55,262,3675,63.9
5:59,262,3676,63.8
6:1,262,3676,63.9
6:1,262,3676,63.9
6:2,262,3676,63.9
6:6,262,3675,63.9
6:5,262,3674,63.9
6:10,262,3675,63.9
6:13,262,3674,63.9
6:13,262,3674,64.0
6:12,262,3674,64.0
6:17,262,3674,64.0
6:17,262,3674,64.0
6:22,262,3669,64.0
6:24,262,3672,64.0
6:25,262,3671,64.0
6:24,262,3671,64.0
6:29,262,3669,64.0
6:29,262,3670,64.0
6:33,262,3659,64.0
6:35,262,3653,64.0
6:35,262,3654,64.0
6:35,262,3659,64.0
6:41,261,3642,64.0
6:42,261,3642,64.0
6:44,261,3642,64.0
6:47,261,3642,64.0
6:46,261,3642,64.0
6:47,261,3642,64.0
6:52,259,3644,64.0
6:53,259,3644,64.0
6:55,259,3644,64.0
6:58,259,3646,63.8
6:58,259,3640,63.8
6:59,259,3641,63.8
7:4,259,3632,64.0
7:4,259,3633,64.0
7:5,259,3632,64.0
7:5,259,3633,64.0
8:47,264,3827,65.9
8:50,264,3825,66.0
9:31,264,3784,66.4
9:34,265,3799,66.1
9:37,265,3779,66.0
9:39,264,3795,66.2
9:42,264,3795,66.3
9:44,264,3794,66.4
9:46,264,3792,66.3
