time,process,threads,memory_usage
40:1,258,3634,65.0
40:1,258,3635,65.0
40:1,260,3653,65.0
40:6,260,3653,65.3
40:7,260,3653,65.2
40:6,260,3652,65.2
40:12,260,3668,65.2
40:11,260,3668,65.2
40:14,263,3703,65.2
40:17,264,3710,65.2
40:17,264,3710,65.2
40:17,264,3705,65.2
40:23,264,3695,65.2
40:22,264,3698,65.2
40:25,264,3686,65.2
40:27,264,3686,65.2
40:27,264,3686,65.2
40:28,264,3687,65.2
40:32,262,3687,65.3
40:33,262,3687,65.3
40:36,262,3681,65.3
40:37,262,3680,65.3
40:38,262,3679,65.3
40:41,262,3676,65.3
40:44,262,3677,65.3
40:43,262,3677,65.3
40:47,262,3676,65.3
40:47,262,3676,65.3
40:47,262,3676,65.3
40:52,262,3668,65.3
40:54,261,3666,65.3
40:55,261,3663,65.3
40:58,261,3665,65.3
40:57,261,3665,65.3
40:58,261,3664,65.3
41:5,261,3660,65.3
41:4,261,3661,65.3
41:4,261,3661,65.3
41:8,261,3644,65.3
41:7,261,3645,65.3
41:8,261,3644,65.3
41:15,260,3637,65.3
41:14,261,3640,65.3
41:15,260,3637,65.3
41:18,260,3637,65.3
41:18,260,3636,65.3
41:19,260,3636,65.3
41:25,260,3635,65.3
41:25,260,3635,65.3
41:26,260,3635,65.3
41:29,260,3636,65.3
41:29,260,3636,65.3
41:28,260,3636,65.3
41:36,260,3583,65.3
41:37,260,3585,65.3
41:36,260,3584,65.3
41:38,260,3577,65.3
41:38,260,3577,65.3
41:39,260,3578,65.3
41:46,259,3578,65.3
41:47,259,3577,65.3
41:46,259,3578,65.3
41:49,259,3577,65.3
41:49,259,3577,65.3
41:49,259,3577,65.3
41:57,259,3578,65.3
41:57,259,3578,65.3
41:57,259,3578,65.3
42:0,259,3579,65.3
41:59,259,3578,65.3
41:59,259,3578,65.3
42:8,259,3578,65.3
42:8,259,3577,65.3
42:7,259,3578,65.3
42:9,259,3576,65.3
42:10,259,3574,65.3
42:11,259,3574,65.3
42:17,259,3575,65.2
42:18,259,3575,65.2
42:18,259,3575,65.2
42:20,259,3576,65.5
42:21,259,3576,65.5
42:20,259,3576,65.5
42:29,261,3612,65.4
42:27,261,3611,65.4
42:28,261,3612,65.4
42:31,261,3612,65.4
42:32,261,3612,65.4
42:31,261,3612,65.4
42:39,261,3601,65.4
42:38,261,3600,65.4
42:39,261,3601,65.4
42:41,261,3563,65.4
42:42,261,3563,65.4
42:43,260,3563,65.4
42:48,259,3562,65.3
42:48,259,3562,65.3
42:49,259,3562,65.3
42:53,257,3562,65.3
42:53,257,3562,65.3
42:52,257,3562,65.3
42:58,257,3563,65.3
42:59,257,3564,65.3
42:59,257,3564,65.3
43:2,257,3563,65.3
43:3,257,3562,65.3
43:3,257,3562,65.3
43:9,257,3565,65.4
43:9,257,3565,65.4
43:10,257,3565,65.4
43:12,259,3581,65.4
43:13,259,3581,65.4
43:14,259,3581,65.4
43:18,259,3573,65.4
43:21,259,3573,65.4
43:19,259,3573,65.4
43:24,259,3583,65.4
43:24,259,3583,65.4
43:23,259,3583,65.4
43:29,259,3585,65.4
43:29,259,3584,65.4
43:29,259,3584,65.4
43:34,259,3581,65.4
43:35,259,3580,65.4
43:34,259,3581,65.4
43:40,259,3577,65.4
43:40,259,3577,65.4
43:39,259,3577,65.4
43:44,259,3577,65.4
43:44,259,3577,65.4
43:45,259,3578,65.4
43:50,259,3578,65.4
